R990604,R829866
R793055,R372030
R186464,R849369
R518369,R956817
R400842,R444407
R866742,R503750
R394321,R995929
R710161,R952995
R955842,R841327
R885907,R452218
R381621,R664058
R284183,R135491
R468526,R375204
R560014,R872536
R114461,R473758
R312185,R156007
R465502,R913566
R424376,R676073
R162533,R482741
R263893,R250199
R579138,R339263
R381078,R816079
R614189,R310371
R656542,R789619
R540892,R879094
R529463,R763480
R181066,R632740
R792076,R306894
R617567,R101960
R290548,R809077
R606011,R735810
R875603,R528598
R145300,R209142
R635281,R908378
R860005,R788228
R788748,R126351
R796053,R951096
R701066,R754551
R954986,R826520
R220096,R502988
R868360,R876315
R973293,R201963
R866248,R872460
R713299,R558419
R167208,R487498
R182176,R552142
R895296,R584586
R135589,R192933
R822051,R631665
R144355,R206602
R717519,R860616
R152415,R194856
R581754,R563070
R219635,R614173
R497394,R668838
R573567,R389382
R907160,R200508
R196181,R748797
R651665,R347543
R106239,R700282
R763677,R242383
R498030,R869305
R917404,R673966
R319764,R241220
R308596,R548345
R803576,R481363
R360694,R887860
R220929,R318440
R300327,R388581
R100525,R130949
R193895,R959558
R102784,R315903
R310852,R541585
R872462,R593652
R678558,R968005
R439043,R395944
R324271,R744968
R197827,R907694
R808781,R954835
R829226,R889395
R687895,R176722
R275491,R954951
R656856,R612694
R541148,R160692
R728602,R641288
R564537,R509288
R755780,R315920
R722279,R259895
R411516,R360119
R157300,R586294
R439577,R768963
R952443,R868624
R866486,R128019
R864241,R800985
R498247,R705903
R727440,R285936
R611767,R778188
R397961,R808976
R801285,R936786
R381055,R267279
R710275,R477545
R470938,R652005
R464163,R704732
R515714,R734195
R747662,R383850
R764532,R228227
R295629,R331947
R522467,R515473
R162434,R887001
R134615,R946668
R153036,R600619
R326590,R426283
R844091,R539465
R830568,R697993
R325107,R260411
R150861,R852217
R683713,R950126
R860738,R307810
R153336,R266670
R509983,R962821
R775552,R201221
R466842,R181995
R400487,R996629
R611841,R888148
R491430,R955186
R963374,R527445
R933047,R633748
R828137,R834975
R187762,R429481
R796481,R799116
R434600,R357471
R763086,R807426
R948016,R342413
R307666,R351825
R209469,R592532
R721290,R237509
R955433,R933310
R544695,R795053
R678587,R428596
R656769,R924900
R952764,R652038
R577075,R485745
R275692,R911831
R648460,R710423
R609895,R258408
R912652,R794049
R280232,R686263
R430511,R908526
R490504,R113112
R599785,R846474
R159482,R815665
R579921,R899266
R660338,R368824
R388247,R196155
R771222,R548421
R377700,R865747
R112591,R624527
R417668,R989449
R568228,R897593
R247601,R857297
R778082,R570831
R455104,R556670
R835049,R807747
R625330,R458635
R884714,R173377
R806183,R817349
R956099,R184745
R235405,R636867
R789463,R358264
R478529,R128299
R747989,R667327
R265297,R324924
R515621,R189783
R291915,R103311
R987977,R579303
R597183,R846735
R988412,R348647
R610618,R478461
R518586,R216407
R288728,R619731
R416319,R123763
R800226,R992146
R225349,R882141
R475027,R979731
R537748,R357197
R166535,R959194
R286879,R300999
R398172,R304978
R603552,R770094
R528693,R672123
R375671,R332830
R419298,R580833
R725293,R524921
R279346,R389541
R153248,R254536
R525992,R329439
R873921,R959426
R874588,R432149
R999142,R179402
R984854,R791928
R283054,R773939
R548954,R929504
R793242,R775700
R464440,R159737
R861823,R686993
R713868,R487462
R475060,R245533
R186887,R735690
R593294,R973283
R903521,R193783
R965424,R430452
R151151,R656837
R472602,R825215
R215855,R438141
R368727,R283971
R668421,R378429
R741095,R735365
R590663,R411042
R679047,R537434
R461710,R571261
R336612,R686749
R651920,R843089
R727962,R895737
R600925,R636749
R949744,R795191
R497585,R991659
R249114,R860599
R324010,R811879
R581216,R178273
R492465,R269596
R240032,R589406
R928114,R897165
R373781,R573741
R725090,R314109
R699571,R134556
R585360,R196178
R902727,R590628
R713787,R363317
R104975,R562091
R883388,R926001
R393489,R125774
R458453,R851692
R974972,R323816
R759403,R162387
R757972,R185177
R216043,R638606
R531696,R410837
R444654,R958491
R330927,R313385
R461802,R118185
R503450,R419633
R588420,R492510
R916685,R855601
R297179,R971633
R387214,R102051
R928852,R319990
R761324,R356582
R253820,R449931
R674936,R778569
R728927,R806987
R394228,R557685
R263006,R881964
R400449,R991576
R613471,R192827
R205420,R170202
R314628,R205594
R294809,R859253
R724099,R285595
R214042,R540620
R317674,R589648
R951613,R132838
R869297,R969169
R104223,R528083
R787376,R953503
R527052,R362646
R596223,R592082
R485557,R548704
R969089,R308352
R334709,R199858
R245483,R793381
R557083,R212246
R509197,R870854
R713894,R838703
R400914,R376558
R560804,R329495
R209456,R129493
R348971,R673235
R128157,R373572
R219773,R888637
R629769,R980379
R194665,R645537
R875716,R823364
R887565,R799836
R147147,R593549
R627846,R393685
R468516,R557750
R961186,R170034
R760767,R305759
R936856,R408880
R755493,R349987
R934269,R198848
R694769,R986992
R514916,R808085
R244625,R930772
R341769,R942472
R784411,R908465
R784612,R836521
R886450,R534772
R664072,R588295
R705461,R684531
R853508,R922960
R361643,R688523
R676281,R835026
R724060,R871391
R723398,R485700
R187324,R754072
R795208,R614806
R784089,R659296
R898755,R118801
R378509,R893087
R170352,R350741
R725695,R654270
R883141,R322074
R283160,R520278
R583519,R390346
R992454,R211066
R461300,R256707
R883676,R190445
R571803,R155871
R367797,R181000
R399341,R651683
R894227,R885183
R851039,R837137
R417295,R624302
R323306,R955525
R287365,R906164
R300163,R940809
R835288,R993329
R669946,R623812
R879761,R758204
R327015,R571538
R352728,R634545
R684319,R290863
R248247,R766740
R568322,R123952
R684705,R760050
R447948,R512779
R731636,R820140
R343701,R385612
R144222,R624410
R843880,R304079
R233758,R586242
R711684,R136877
R255304,R776407
R737586,R395403
R680181,R620957
R509881,R939824
R208730,R138908
R607378,R938280
R490035,R833096
R892022,R837415
R745287,R466313
R507323,R601983
R842784,R724427
R545254,R249539
R773528,R866913
R947451,R692021
R968078,R843186
R935690,R181613
R383767,R854087
R993482,R615424
R828384,R446604
R256822,R112536
R952170,R382632
R516571,R991136
R322574,R405205
R307672,R589278
R175335,R477453
R471744,R893396
R689437,R114715
R359457,R188738
R997609,R597844
R345993,R779175
R119040,R693374
R453097,R367214
R642860,R127700
R374281,R416238
R565167,R116664
R951847,R573873
R556115,R597341
R812670,R154418
R563168,R464870
R829622,R443747
R134961,R482273
R126279,R208422
R774257,R532233
R143476,R402779
R603662,R314001
R675333,R611582
R389483,R673099
R614760,R172992
R131190,R604817
R735691,R531420
R167552,R525725
R810157,R311133
R966257,R795182
R349012,R866352
R936898,R621176
R349885,R517599
R376968,R849667
R416437,R627293
R542473,R606323
R318267,R696599
R510171,R637297
R978526,R168243
R875104,R424784
R219501,R665523
R967465,R702189
R370248,R939756
R398611,R109386
R853258,R801006
R141586,R640862
R413974,R360020
R742938,R516116
R692499,R126394
R954824,R481674
R387050,R103431
R844118,R795520
R230523,R215518
R681084,R179607
R805822,R417936
R799651,R397784
R695456,R456030
R926799,R985193
R116384,R926267
R661907,R651047
R350062,R255641
R808296,R500574
R337406,R515737
R775322,R360021
R562847,R286760
R117087,R689022
R847879,R676883
R911714,R766519
R249132,R742097
R284232,R202591
R115609,R312660
R164386,R758865
R486905,R322517
R261779,R612352
R475229,R422099
R756485,R585642
R760534,R573339
R914437,R745243
R339931,R959485
R196972,R935753
R168551,R958479
R921634,R720128
R861925,R105925
R368113,R853287
R190521,R547656
R431650,R877376
R180324,R404223
R498323,R625850
R652574,R235187
R729967,R743514
R524138,R648700
R983828,R673387
R489142,R962817
R738313,R607873
R926080,R129402
R203709,R387613
R109257,R114165
R117598,R168472
R654964,R359178
R854193,R392188
R890672,R865874
R366623,R404212
R251544,R403496
R797649,R782753
R273720,R970825
R904542,R135380
R332037,R292702
R547358,R494198
R626126,R751631
R913639,R676533
R993188,R175246
R761797,R630404
R643314,R197777
R748230,R899527
R963125,R425824
R448464,R222416
R897210,R217292
R590172,R836645
R621624,R321168
R572167,R136661
R261269,R631934
R807038,R693368
R747529,R670811
R142229,R777097
R806034,R605984
R615665,R756674
R524933,R609028
R438388,R287155
R877505,R727042
R710489,R624555
R200061,R300923
R860401,R397236
R718418,R266495
R417274,R187522
R445768,R878927
R319881,R344872
R698239,R740326
R469215,R516429
R698475,R175802
R719126,R102969
R150449,R746522
R367177,R531803
R542775,R737870
R320589,R948212
R598360,R741813
R912208,R909492
R926104,R945393
R838367,R733063
R691776,R579546
R417163,R542842
R816093,R690291
R929697,R596584
R763768,R115941
R811216,R957650
R170377,R391903
R134092,R579421
R428718,R185186
R375943,R713145
R755179,R381760
R285983,R380905
R318975,R814967
R521250,R254569
R190569,R384278
R734322,R178426
R352833,R867111
R772838,R367259
R777483,R742886
R928304,R651213
R821311,R356175
R547216,R440134
R729358,R901217
R907491,R705873
R577695,R359308
R294729,R752901
R122970,R616294
R534399,R718886
R449310,R829546
R758870,R472110
R534163,R765432
R679267,R883047
R788318,R613277
R122047,R738328
R893983,R854071
R651009,R162097
R601004,R293942
R187128,R225536
R365421,R630174
R102294,R530419
R562305,R478617
R725384,R690420
R649995,R242061
R583193,R207637
R143306,R208371
R625221,R808457
R852047,R247849
R880789,R838081
R629601,R754586
R326480,R947522
R291429,R309850
R209423,R405222
R149698,R254603
R655514,R762247
R334485,R106345
R791723,R749753
R771351,R143234
R610634,R527437
R133828,R658450
R907303,R917496
R596505,R534978
R268758,R201000
R973051,R944196
R672896,R966901
R411675,R657926
R703181,R892903
R729242,R617163
R921171,R745656
R337748,R639849
R221336,R772713
R407708,R403933
R100936,R414248
R672147,R827541
R699150,R567293
R414974,R999658
R967556,R152454
R785107,R435747
R909985,R826575
R653097,R170812
R516092,R417447
R684811,R897825
R666259,R623562
R734075,R561929
R583343,R639103
R247398,R801584
R444193,R992478
R147241,R844000
R784107,R735352
R826783,R237602
R354180,R105945
R796278,R839959
R323489,R438286
R103397,R500720
R666336,R971712
R803905,R388097
R244098,R285487
R461064,R529119
R405582,R167829
R856837,R304377
R866457,R278111
R611403,R274528
R369383,R544977
R384005,R875182
R956131,R872981
R671687,R561256
R452926,R240626
R852605,R679256
R212550,R778036
R503861,R799603
R143500,R594538
R571154,R215221
R882017,R793290
R128912,R887452
R430811,R643796
R990151,R593653
R958797,R154408
R877354,R888575
R420740,R218566
R793510,R447834
R786141,R151611
R407329,R917424
R781727,R352385
R668759,R631714
R429279,R122361
R877323,R683512
R638294,R789124
R298038,R142491
R665914,R725637
R334480,R987119
R217454,R463698
R108847,R638280
R575871,R552269
R772618,R189047
R512007,R178912
R741389,R843622
R221561,R114463
R832976,R299086
R115682,R957348
R523250,R844103
R995108,R464554
R672875,R870763
R265040,R711893
R471377,R229246
R290147,R495642
R497150,R495943
R719916,R475091
R857409,R917584
R844731,R956535
R204743,R547027
R633959,R605221
R522653,R428737
R713032,R902677
R888009,R520067
R399550,R461999
R469033,R738816
R985518,R479387
R840127,R888730
R878723,R996323
R504315,R900344
R160912,R854626
R426620,R677256
R383883,R456216
R960493,R758617
R303421,R472136
R664385,R632669
R275084,R251484
R453032,R955642
R990290,R625295
R419308,R114519
R431649,R397399
R361867,R821701
R570462,R560036
R557455,R413211
R668453,R411567
R148958,R734436
R647249,R727209
R778966,R765060
R613026,R764490
R271227,R211407
R160128,R587132
R740620,R107211
R110678,R257140
R403779,R887707
R427763,R558779
R591540,R119871
R311643,R336934
R729782,R927997
R988228,R214217
R324420,R728673
R979000,R808668
R191427,R772180
R736947,R339657
R738225,R292220
R780902,R343571
R271957,R921780
R705827,R506064
R480740,R913801
R648127,R220900
R940940,R548388
R370374,R479872
R597867,R944815
R283318,R326429
R748386,R892845
R421111,R544245
R625749,R433628
R209904,R632384
R931190,R898218
R704132,R902764
R742923,R616156
R712690,R772874
R259469,R113220
R619036,R335684
R945522,R250860
R484126,R630772
R613473,R598256
R142086,R461628
R572663,R579564
R297991,R398390
R126480,R717220
R252944,R549531
R508245,R198978
R684402,R468763
R406796,R887319
R220417,R134972
R835306,R878909
R100225,R495618
R657094,R351461
R351403,R136521
R722176,R398620
R469602,R314693
R343207,R413467
R237013,R518165
R595366,R793808
R659927,R830710
R820536,R876375
R683510,R893347
R239632,R478042
R959845,R725774
R258611,R553022
R162673,R522741
R485174,R892100
R162087,R953753
R683440,R138897
R446621,R242784
R840909,R729747
R330510,R393173
R878072,R245347
R443894,R878755
R572483,R896319
R249287,R209024
R288974,R353027
R638184,R706199
R159918,R206283
R763168,R246809
R399118,R651179
R716745,R870407
R508699,R593179
R955086,R161137
R691233,R617890
R430629,R124522
R928154,R216547
R462444,R843062
R561419,R563255
R747293,R269016
R545936,R781342
R555484,R883549
R834520,R218635
R290713,R354625
R928789,R835325
R727350,R572781
R275912,R348917
R473387,R105542
R739314,R638002
R327698,R610080
R241129,R436117
R432172,R903017
R160161,R623346
R242981,R999896
R721636,R557293
R265841,R337813
R952778,R254015
R505051,R615727
R724982,R321324
R364245,R468921
R467745,R349052
R474207,R984070
R759869,R223876
R571886,R891130
R955596,R976617
R388597,R776185
R836913,R228128
R717070,R555160
R415312,R816143
R656383,R197944
R758915,R203675
R469306,R606103
R683470,R226211
R296213,R650238
R496105,R346680
R796879,R390123
R381709,R421135
R904897,R648624
R412724,R566576
R168106,R368315
R102423,R579321
R278244,R802112
R369905,R388802
R848821,R151125
R986725,R445515
R318877,R314248
R900999,R397907
R907740,R351943
R853466,R744890
R874665,R530404
R862123,R383711
R205373,R674847
R706647,R378663
R734481,R818523
R603387,R262001
R119107,R566587
R147218,R726947
R754975,R366849
R596657,R461087
R521571,R692641
R447672,R415124
R916777,R928418
R117733,R368798
R732272,R267216
R373293,R835530
R209627,R760390
R863243,R197161
R627163,R745013
R158087,R707711
R466883,R763801
R230373,R942203
R375300,R615436
R737058,R939548
R575362,R829107
R293607,R979853
R236528,R649295
R953118,R273237
R863317,R999861
R544555,R363015
R121713,R206136
R792740,R177396
R932894,R730994
R317635,R721712
R814606,R175090
R931138,R987283
R454738,R615551
R930657,R682158
R927423,R747876
R312375,R194400
R701699,R118686
R823524,R841119
R303749,R353694
R971130,R464844
R299320,R546044
R374076,R714238
R488492,R564526
R698189,R260227
R266664,R710263
R973446,R231362
R158743,R781854
R527411,R452644
R776677,R375048
R814268,R955282
R489208,R297597
R972383,R718801
R103699,R171541
R974718,R393129
R867307,R269508
R544209,R824460
R124540,R141934
R734041,R934463
R539759,R808522
R403765,R795862
R491909,R228771
R797850,R703841
R488261,R808635
R268849,R277194
R182899,R331501
R896141,R975526
R161143,R593213
R683789,R845108
R812124,R913409
R134918,R860313
R216327,R954971
R518729,R573090
R372712,R875157
R782231,R636965
R731081,R126354
R303916,R974738
R807188,R377812
R668553,R728446
R145116,R613758
R573591,R592431
R477255,R837004
R131429,R573796
R417421,R208962
R475978,R296372
R925100,R102329
R719279,R551163
R912244,R389455
R800242,R937657
R270196,R338090
R182765,R633518
R627543,R544616
R834909,R288426
R350142,R186823
R952526,R647716
R842423,R309320
R489810,R875378
R121121,R594656
R768131,R562322
R664014,R216765
R538210,R257963
R381499,R143277
R430217,R936635
R877756,R705811
R893381,R152905
R453657,R744590
R938009,R628661
R560608,R489384
R326363,R486342
R786875,R604546
R394429,R796444
R143293,R928684
R632382,R737329
R325444,R994281
R383858,R155726
R869065,R271749
R936171,R628005
R500691,R718221
R491503,R913685
R295303,R957517
R729983,R122317
R550521,R611963
R995491,R473689
R427711,R426000
R198406,R845353
R559491,R395774
R331277,R382824
R239136,R286994
R427312,R603639
R192731,R324020
R496985,R416658
R752169,R626864
R617534,R111039
R720916,R122505
R527339,R423437
R207143,R211523
R959514,R757867
R523897,R509679
R199600,R539032
R986909,R975874
R198501,R566486
R569933,R812594
R128377,R211716
R838139,R671392
R852160,R767185
R888154,R639484
R503149,R717238
R286551,R482327
R630433,R910475
R626373,R819037
R445330,R217089
R279374,R393110
R818307,R902371
R288727,R433044
R342191,R607542
R588418,R269727
R796623,R267575
R149097,R872354
R590340,R631150
R347232,R933546
R615173,R192106
R229982,R305582
R448381,R463807
R295935,R279885
R647629,R529095
R426480,R841638
R420874,R552378
R635051,R836492
R393535,R230415
R454144,R512571
R161410,R163881
R346603,R704345
R580574,R276436
R426917,R340330
R307769,R288421
R598740,R763136
R172448,R854493
R467800,R185453
R415970,R410925
R934367,R497320
R939316,R312071
R806181,R318982
R605314,R848460
R943599,R832103
R824200,R364311
R601174,R951579
R330077,R846568
R279046,R915829
R957056,R172401
R526602,R232922
R709596,R539940
R837508,R331931
R397005,R799221
R585471,R265199
R693132,R743307
R258288,R531317
R360902,R967477
R481736,R393453
R136703,R139647
R451771,R739582
R766781,R629382
R497242,R684601
R422155,R368684
R895303,R771230
R613600,R368903
R189156,R578588
R594479,R974496
R277943,R311118
R802511,R867906
R785536,R294991
R937163,R346894
R334093,R989503
R885456,R762040
R474636,R999557
R981832,R900861
R430520,R328703
R623848,R746233
R583789,R284584
R572825,R450031
R756408,R826297
R417054,R959950
R500368,R145552
R548979,R308502
R857700,R309830
R628716,R758199
R902275,R443751
R839422,R748894
R996153,R497854
R746710,R915067
R470596,R626823
R150277,R626104
R930426,R345868
R907638,R869199
R255615,R670559
R516290,R338608
R487646,R310316
R345003,R180235
R694621,R149874
R900559,R154634
R854526,R145211
R246498,R549072
R591084,R950997
R782135,R854457
R917332,R944062
R927820,R826099
R403910,R740955
R126388,R389090
R975683,R872361
R953198,R520788
R892577,R419099
R307688,R168326
R299110,R412144
R201053,R290116
R913359,R241375
R392929,R272220
R407040,R510043
R933416,R272068
R482776,R242480
R935015,R650896
R421347,R409160
R400885,R231679
R657239,R997515
R935047,R224737
R123862,R665630
R410388,R451041
R312697,R336860
R578946,R542076
R943032,R629717
R172364,R489541
R255334,R636991
R346238,R239215
R889125,R872483
R173288,R440037
R870491,R384690
R211724,R918869
R223105,R935101
R804095,R874827
R371855,R880034
R645229,R542644
R881796,R418860
R764072,R173906
R422138,R511491
R866928,R220863
R450292,R913785
R857969,R713341
R325695,R424766
R957773,R284167
R475740,R772193
R228032,R980429
R902390,R691294
R771328,R886983
R269661,R980165
R391969,R894443
R308270,R850471
R456068,R473280
R687571,R594935
R808086,R884951
R264601,R328224
R601373,R291628
R612523,R776024
R368925,R220369
R217923,R931771
R938162,R674351
R474402,R774727
R848556,R251774
R595030,R142408
R724324,R287341
R374724,R583697
R278253,R430286
R142724,R120789
R489833,R717285
R195124,R919428
R352602,R367929
R535911,R996313
R656561,R787776
R674653,R232217
R666651,R449876
R698753,R251643
R310516,R914425
R701204,R205577
R340560,R271568
R437655,R361457
R601416,R724670
R370926,R947216
R613147,R608140
R231606,R966975
R358948,R415920
R738860,R910520
R273634,R782460
R140645,R173628
R755423,R958898
R211615,R462288
R923487,R613535
R256151,R152230
R777514,R226726
R717381,R744939
R609151,R621657
R605998,R607586
R391927,R809705
R481003,R707511
R227772,R597358
R427003,R420293
R684152,R555738
R376171,R705507
R971560,R456791
R581877,R586512
R959280,R509603
R662217,R652633
R171814,R754605
R967418,R320325
R435217,R590574
R616690,R248907
R242431,R401065
R425755,R130437
R796212,R117694
R721873,R445092
R177541,R567545
R659291,R164125
R446480,R220756
R956917,R225419
R134083,R565392
R901115,R242371
R860753,R998956
R839797,R961708
R613601,R804533
R269494,R158043
R348336,R148997
R496746,R325787
R877825,R118212
R137207,R114512
R972503,R749964
R647583,R183511
R730806,R247687
R689645,R318888
R927685,R617751
R944163,R288216
R267692,R425614
R460335,R683885
R940351,R697211
R257442,R391245
R508374,R695608
R239352,R817639
R463850,R347838
R677481,R404567
R889404,R920417
R769135,R582145
R693298,R295391
R256142,R639952
R933220,R670341
R459386,R210489
R312142,R684761
R137510,R547806
R353619,R274097
R502063,R860742
R259771,R693550
R449179,R656576
R359513,R702920
R687908,R544120
R672785,R245208
R597487,R718200
R347086,R412404
R823140,R702204
R170223,R583176
R361645,R924306
R156425,R688036
R142620,R814051
R720380,R566955
R664413,R590384
R222791,R688887
R970331,R696476
R960329,R178633
R376419,R664781
R728487,R633817
R337904,R415487
R558950,R783847
R576127,R994041
R557111,R757188
R151054,R163932
R991464,R481426
R878303,R730275
R634654,R393500
R549821,R863623
R643603,R720953
R345770,R838140
R466590,R685568
R635568,R222029
R593660,R234720
R979040,R634617
R144380,R613375
R351190,R101078
R135825,R691794
R174715,R710267
R834427,R588870
R665753,R503514
R384044,R859311
R699803,R112004
R170189,R616478
R170008,R990488
R379991,R328620
R723418,R913175
R775983,R460372
R536153,R299228
R541897,R288297
R314120,R482861
R390896,R267082
R835205,R287862
R856075,R574273
R477751,R642069
R179810,R102272
R805458,R672480
R734811,R186404
R810220,R910406
R813871,R500287
R655042,R257754
R654508,R293715
R753813,R115510
R268341,R448363
R417995,R323178
R146154,R478553
R440087,R896367
R224833,R918859
R468946,R219828
R608281,R981921
R937230,R708694
R452477,R436305
R684688,R916141
R421206,R340810
R622827,R417411
R617544,R790376
R761601,R728706
R136623,R446690
R850134,R786297
R438556,R465735
R414944,R658968
R174478,R412134
R451437,R592224
R658901,R199005
R254557,R533507
R959048,R988230
R553709,R672467
R706754,R532835
R579845,R720035
R376838,R489540
R905074,R644285
R199251,R283571
R914306,R913865
R702547,R480512
R711873,R109629
R697731,R294542
R567168,R161551
R187821,R628768
R827735,R767665
R729760,R877425
R644219,R128620
R270301,R909641
R564753,R714846
R212407,R577615
R490340,R168793
R831930,R233188
R868059,R561293
R732105,R434318
R922710,R203269
R155252,R820893
R109079,R354552
R331924,R590107
R807095,R745218
R785845,R360973
R230982,R728632
R550041,R141261
R969166,R857401
R743315,R529351
R357815,R885628
R314786,R805994
R705108,R642907
R395456,R475636
R875222,R832869
R663772,R722452
R741296,R530399
R973021,R105028
R749664,R430104
R736358,R897934
R618030,R671724
R898297,R743001
R428183,R790160
R973239,R801453
R738278,R908069
R718189,R136060
R766512,R346275
R560310,R324546
R605828,R980279
R786369,R178963
R221268,R239969
R753341,R815421
R672837,R537124
R765552,R679411
R785172,R346807
R308060,R900451
R678735,R692605
R534245,R652782
R288116,R330732
R586643,R388281
R883067,R486307
R784001,R984559
R503928,R410939
R531753,R209248
R521914,R847823
R477897,R783866
R470274,R242022
R810671,R914618
R572039,R189775
R212109,R312523
R752716,R379223
R150846,R628525
R223807,R936935
R523570,R435624
R706044,R346091
R395377,R519297
R882997,R464434
R614332,R103454
R941751,R584666
R559075,R206863
R298074,R408139
R179098,R154204
R135533,R786290
R953206,R717950
R862617,R842475
R611242,R698576
R166601,R415993
R721027,R403920
R510044,R387870
R925642,R956594
R456742,R494451
R556957,R221511
R577509,R665236
R930850,R551908
R837814,R385930
R540760,R502882
R522333,R386886
R261508,R654919
R917272,R152226
R277249,R179404
R370518,R578248
R112139,R314319
R474441,R964891
R805257,R653628
R715282,R259058
R766798,R897162
R261485,R505097
R609680,R765863
R923701,R516244
R340713,R813695
R315477,R418371
R828433,R484648
R690689,R295310
R614918,R656127
R134199,R679240
R722304,R595757
R104083,R780817
R760190,R639589
R872975,R443192
R317733,R492888
R183638,R850185
R531260,R134125
R766814,R777984
R250107,R809131
R864140,R206054
R474190,R558250
R626448,R103927
R312849,R584766
R729115,R526871
R775011,R613469
R818997,R952430
R616313,R695541
R247305,R561506
R739482,R837217
R714149,R188321
R749914,R650692
R563900,R997362
R223936,R200732
R531648,R415044
R825642,R784798
R827134,R984592
R350307,R929723
R276163,R774784
R791180,R954115
R187199,R227373
R158028,R655853
R843735,R286105
R412092,R762608
R689647,R111950
R498699,R184433
R505792,R240249
R952278,R771060
R112788,R800224
R155981,R852786
R313154,R865258
R436237,R842926
R869072,R807493
R771550,R253977
R167424,R297443
R219506,R317349
R451680,R932562
R769210,R526023
R929980,R955273
R806601,R770176
R657880,R784165
R604272,R124865
R427663,R137502
R714262,R764472
R828568,R898426
R485342,R299469
R324902,R202855
R535723,R520547
R479137,R943329
R910624,R866212
R740590,R111805
R801982,R724709
R160304,R681964
R891969,R555537
R524820,R913339
R996623,R794808
R930556,R298076
R368418,R199992
R672010,R186348
R240465,R414094
R865252,R725008
R541298,R126158
R209620,R245322
R173022,R825053
R223112,R999910
R483935,R984603
R943909,R153151
R144306,R767802
R170756,R661688
R891633,R814157
R570733,R224020
R136376,R393476
R373567,R975395
R786124,R975477
R802850,R502003
R960586,R425206
R914100,R351107
R344782,R311105
R178794,R369823
R228538,R622172
R976562,R412881
R804444,R234625
R186021,R883268
R315936,R158237
R891883,R795436
R730521,R218485
R103019,R662429
R612264,R694797
R183547,R945989
R729549,R142947
R105762,R528540
R933497,R610069
R478052,R119694
R621492,R901322
R711668,R897261
R962184,R786417
R641985,R210359
R476730,R165459
R391106,R730744
R194013,R610079
R651234,R410057
R941522,R827395
R305026,R563843
R883092,R593777
R630446,R178649
R474202,R904704
R141187,R837358
R629372,R121602
R930734,R928786
R280764,R535888
R901530,R155024
R151420,R243666
R614878,R364464
R811561,R517836
R652355,R496632
R105691,R714197
R436485,R336841
R594569,R771041
R180823,R948796
R376084,R214633
R428659,R955111
R949898,R990313
R100366,R747263
R674050,R647059
R627235,R809386
R369939,R485358
R889601,R131317
R106924,R712986
R610701,R444168
R492491,R844552
R984313,R551959
R843093,R688474
R389193,R561300
R984024,R811937
R616962,R422338
R493461,R356204
R278291,R704706
R859108,R806173
R976480,R319158
R559946,R315129
R605953,R954057
R976485,R616871
R697036,R764310
R114838,R854509
R192160,R622004
R578796,R229987
R654250,R776162
R306211,R993493
R893698,R844205
R152668,R525077
R754909,R978495
R763730,R867860
R751418,R410774
R223406,R502932
R618360,R574802
R441992,R973841
R477546,R875479
R435549,R865868
R271604,R254035
R302526,R739955
R946375,R527796
R478875,R783475
R913796,R776831
R784312,R412974
R955528,R462594
R768589,R170215
R591507,R673120
R851812,R289017
R161205,R160483
R148752,R111103
R913739,R571963
R811085,R970964
R181257,R338394
R513442,R721613
R946883,R516808
R992563,R853164
R915181,R765048
R666008,R555757
R591476,R250925
R647205,R601578
R806423,R533940
R148238,R155817
R909140,R428010
R817622,R978454
R602956,R536956
R982687,R510396
R724817,R940985
R629615,R553110
R970977,R999663
R185634,R791520
R434768,R790814
R681463,R194898
R316432,R533898
R101088,R513650
R566725,R932207
R519652,R810153
R759703,R489441
R454679,R462721
R178469,R466935
R623505,R629474
R314187,R103392
R216977,R356594
R659914,R508784
R289944,R335277
R797754,R860407
R603472,R692048
R301768,R959224
R272352,R479640
R672233,R406350
R241868,R893267
R979292,R187894
R404900,R487284
R661743,R701230
R797227,R471973
R469569,R100327
R513639,R702062
R541006,R309392
R321366,R185029
R227447,R106599
R255173,R689492
R334978,R128904
R801551,R654855
R330291,R371489
R874379,R740450
R894064,R691159
R802282,R667891
R911142,R403189
R132209,R810149
R156456,R331261
R229678,R578811
R893512,R340761
R702140,R518692
R838826,R299021
R324381,R580296
R746137,R757665
R453106,R247296
R496320,R551804
R336775,R940697
R697801,R636403
R853671,R772719
R274597,R745971
R555365,R442523
R610920,R296719
R324004,R439593
R904840,R492112
R319275,R280442
R347336,R282746
R393758,R944207
R375868,R917058
R699855,R589735
R616686,R744010
R646957,R429949
R739312,R322964
R447369,R956142
R991230,R950787
R102099,R430340
R457489,R273248
R479787,R848009
R919663,R751632
R953140,R660422
R645802,R688813
R349155,R496310
R914234,R568792
R788659,R311676
R121682,R238238
R646325,R204425
R339744,R188073
R628083,R543926
R625334,R563841
R323996,R845952
R548292,R689898
R361141,R187384
R996012,R469523
R683119,R244491
R838423,R930417
R457433,R298715
R474820,R529139
R867855,R116642
R289908,R283831
R764229,R371416
R870129,R538306
R675312,R860699
R194135,R504334
R770496,R691497
R392777,R740214
R157315,R194297
R775762,R365430
R374814,R342038
R378094,R262094
R233047,R656169
R214104,R196002
R172794,R851918
R207379,R542887
R417568,R114647
R309950,R299495
R749345,R656776
R705749,R187984
R920803,R738633
R833928,R101235
R360883,R755731
R400921,R482827
R436459,R904474
R970333,R860134
R778761,R435569
R579383,R641055
